Symbol,train_rows,val_rows,test_rows,total_rows
a,3799,252,450,4501
aa,11352,252,450,12054
aaba,4712,252,450,5414
aal,267,252,450,969
aamc,497,252,442,1191
aame,2262,244,400,2906
aan,2479,252,450,3181
aaoi,319,252,450,1021
aaon,2479,252,450,3181
aap,2479,252,450,3181
aapl,7642,252,450,8344
aat,995,252,450,1697
aau,2455,252,450,3157
aav,2477,252,450,3179
aaww,2440,252,450,3142
aaxn,2479,252,450,3181
ab,2479,252,450,3181
abac,1117,244,446,1807
abax,2479,252,450,3181
abb,2479,252,450,3181
abbv,502,252,450,1204
abc,4969,252,450,5671
abcb,2479,252,450,3181
abcd,1248,252,450,1950
abco,2479,252,450,3181
abe,2477,252,441,3170
abev,1797,252,450,2499
abg,2479,252,450,3181
abio,2479,252,450,3181
abm,2479,252,450,3181
abmd,2477,252,450,3179
abr,2479,252,450,3181
abr_a,470,247,407,1124
abr_b,389,236,397,1022
abt,8004,252,450,8706
abus,1727,252,450,2429
abx,7533,252,450,8235
acad,2479,252,449,3180
acc,2479,252,450,3181
acco,2362,252,450,3064
acer,2403,252,450,3105
acet,2479,252,450,3181
acfc,835,247,450,1532
acgl,2479,252,450,3181
ach,2467,252,450,3169
achc,794,252,450,1496
achn,2058,252,450,2760
achv,2478,252,450,3180
aciw,2479,252,450,3181
acls,2479,252,450,3181
acm,1926,252,450,2628
acn,2479,252,450,3181
acnb,2140,237,448,2825
acor,2237,252,450,2939
acp,985,252,450,1687
acre,675,252,450,1377
acrx,952,252,450,1654
acst,497,252,441,1190
acta,2479,252,450,3181
actg,2479,252,450,3181
acu,2374,250,440,3064
acxm,2479,252,450,3181
acy,2380,243,396,3019
adbe,7154,252,450,7856
adc,2479,252,450,3181
adhd,407,252,450,1109
adi,7676,252,450,8378
adm,8004,252,450,8706
admp,4748,252,450,5450
adp,8002,252,450,8704
ads,2479,252,450,3181
adsk,7436,252,450,8138
adtn,2479,252,450,3181
adus,1300,252,450,2002
adx,2479,252,450,3181
adxs,2232,252,450,2934
adxsw,285,251,426,962
ae,2468,252,449,3169
aeb,1097,252,450,1799
aed,1097,252,450,1799
aee,4273,252,450,4975
aeg,2479,252,450,3181
aegn,799,252,450,1501
aeh,1097,252,450,1799
aehr,2402,249,448,3099
aeis,2479,252,450,3181
aek,728,252,450,1430
ael,2479,252,450,3181
aem,7636,252,450,8338
aeo,2479,252,450,3181
aep,11353,252,450,12055
aer,2041,252,450,2743
aeri,298,252,450,1000
aes,5924,252,450,6626
aet,9584,252,450,10286
aeti,2385,242,440,3067
aey,2426,249,449,3124
aezs,2479,252,450,3181
afam,2449,252,450,3151
afb,2479,252,450,3181
afc,1097,252,449,1798
afg,2479,252,450,3181
afh,470,252,450,1172
afl,7676,252,450,8378
afsd,568,252,450,1270
afsi,2045,252,450,2747
aft,962,252,450,1664
ag,2435,252,450,3137
agc,1915,252,450,2617
agco,2479,252,450,3181
agd,2124,252,450,2826
agen,2479,252,450,3181
agi,475,252,450,1177
agii,2479,252,450,3181
agiil,567,252,449,1268
agio,364,252,450,1066
agm,2479,252,450,3181
agm-a,881,112,233,1226
agn,5506,252,450,6208
agnc,1670,252,450,2372
ago,2479,252,450,3181
ago_b,1096,252,444,1792
ago_e,1097,252,450,1799
ago_f,1097,250,450,1797
agro,985,252,450,1687
agu,2479,252,450,3181
agx,2089,252,450,2791
agys,2479,252,450,3181
ahc,1742,252,450,2444
ahgp,2177,252,450,2879
ahh,417,252,450,1119
ahl,2479,252,450,3181
ahl_c,2286,252,450,2988
ahp,278,252,450,980
ahpi,2165,235,434,2834
aht,2479,252,450,3181
aht_d,1096,252,450,1798
ai,2479,252,450,3181
aif,467,252,450,1169
aig,7643,252,450,8345
aig-ws,985,252,450,1687
aimc,2024,252,450,2726
ain,2479,252,450,3181
ainv,2479,252,450,3181
air,2479,252,450,3181
airi,346,252,443,1041
airt,2432,239,366,3037
ait,2479,252,450,3181
aiv,5145,252,450,5847
aiw,349,241,323,913
aiy,383,252,450,1085
aiz,2479,252,450,3181
ajg,2479,252,450,3181
ajrd,2479,252,450,3181
akam,2479,252,450,3181
akg,2210,252,450,2912
ako-a,1056,208,375,1639
ako-b,1096,252,450,1798
akp,2479,252,450,3181
akr,2479,252,450,3181
akrx,2478,252,450,3180
aks,2479,252,450,3181
al,924,252,450,1626
alb,2479,252,450,3181
albo,1925,252,450,2627
alco,2479,252,449,3180
aldw,532,252,450,1234
ale,2479,252,450,3181
alex,2479,252,450,3181
alg,2477,252,450,3179
algn,2479,252,450,3181
algt,2029,252,450,2731
alim,1182,252,450,1884
alk,2479,252,450,3181
alks,2479,252,450,3181
all,5432,252,450,6134
all_a,803,252,450,1505
all_b,803,252,450,1505
all_c,313,252,450,1015
all_d,254,252,450,956
alle,271,252,450,973
allt,2040,252,450,2742
